user_id,view,cart,remove_from_cart,purchase
268537490,,1.0,,1.0
268539029,4.0,,,
268679614,1.0,,,
268744591,3.0,1.0,1.0,
269748448,1.0,,,
270162473,,1.0,,
270255294,,,,1.0
270588836,1.0,,,
270840072,1.0,,,
271070766,,1.0,,
271776768,3.0,,,
272123362,3.0,,,1.0
272142491,2.0,,,
272351478,1.0,,,
272442438,1.0,,,
272966180,1.0,,,
272969476,1.0,1.0,,
273308416,1.0,,1.0,
273604755,1.0,,,
274046885,13.0,,,
274110485,6.0,,,1.0
274340804,,1.0,,
274484558,1.0,,,
274908291,,1.0,,
274911753,,1.0,,1.0
274936537,1.0,,,
275023240,5.0,,,
275071667,3.0,,1.0,
275680767,1.0,2.0,,
276277524,1.0,,,
276646584,2.0,1.0,,
276906516,5.0,1.0,,1.0
277853305,6.0,1.0,,1.0
278387701,2.0,,1.0,
278565073,1.0,1.0,,1.0
278695124,1.0,,,
279141909,,1.0,3.0,
279402009,2.0,2.0,,
279430445,1.0,1.0,,1.0
279486654,2.0,1.0,1.0,
279583189,1.0,,,
279806409,4.0,1.0,1.0,
279832551,6.0,,,
279836012,1.0,,,
280011154,1.0,,,
280456635,,,1.0,
281024432,1.0,,,
281293994,,2.0,1.0,
281331835,1.0,,,
281371282,,1.0,,
281567558,3.0,1.0,1.0,1.0
281700652,,2.0,1.0,
281737165,2.0,,,
281921575,1.0,,,
282154428,1.0,1.0,,1.0
282158769,1.0,,,
282223441,1.0,,,
282350725,1.0,,,
282474110,1.0,,,
282542941,2.0,,,
282627484,3.0,,,
282807564,1.0,,,
282858656,,5.0,,1.0
282919665,1.0,,,
282990636,,1.0,,
283583881,1.0,,,
283851255,1.0,1.0,1.0,
284038147,1.0,,,
284282134,1.0,1.0,,1.0
284303312,,1.0,,
284617362,,1.0,,
284857218,,,,1.0
285015738,2.0,,,1.0
285374442,1.0,1.0,,
286415921,,1.0,,
286534921,1.0,,,
286571774,1.0,,,
286607141,,1.0,,
286617781,,1.0,,
286784391,6.0,1.0,,1.0
286888372,2.0,2.0,,2.0
286894799,2.0,1.0,,
287025553,1.0,,,
287114528,1.0,,,
287121170,1.0,,,
287286674,1.0,,,
287536367,2.0,,,
287539215,1.0,1.0,1.0,
287683574,1.0,,,
287780114,2.0,,,
287821316,1.0,,,
287963502,1.0,,,
288118675,1.0,1.0,,1.0
288229439,,1.0,,
288509045,1.0,,,
288692706,1.0,,,
288778138,2.0,,,
289122000,1.0,,,
289160658,,1.0,,1.0
289556263,3.0,2.0,2.0,
289709344,,1.0,,1.0
289874241,1.0,1.0,,
289958418,1.0,,,
290783814,3.0,1.0,,1.0
290895227,,2.0,1.0,1.0
291018210,2.0,,,
291167136,2.0,1.0,,1.0
291343334,,1.0,,
291549671,1.0,,,
291662427,2.0,,,
291719908,3.0,2.0,,1.0
292083573,1.0,1.0,,
292340147,1.0,,,
292632055,2.0,1.0,,1.0
293110890,1.0,1.0,,
293483952,5.0,2.0,,
294417864,13.0,1.0,,1.0
294522220,1.0,,,
294578317,1.0,,,
294623258,1.0,,,
294730251,1.0,,,
294809351,2.0,,,
295148148,1.0,2.0,4.0,
295193293,,1.0,,1.0
295794322,2.0,,,
295833554,1.0,,,
295853658,1.0,,,
295857046,3.0,,,
295966676,2.0,,,
296009228,4.0,,,
297064732,2.0,,,
297184947,1.0,,,
297251032,1.0,,,
297257060,1.0,2.0,1.0,
297358693,1.0,1.0,,
297392339,4.0,,,
297675604,1.0,1.0,,
297697700,2.0,1.0,,
297709847,1.0,,,
297744808,1.0,,,
297801930,1.0,,,
297878736,,,,1.0
298143625,2.0,1.0,1.0,1.0
298238034,1.0,,,
298298753,,1.0,1.0,
298333468,,2.0,,
298466411,,1.0,,1.0
298490679,1.0,,1.0,
298674340,1.0,,,
298711563,2.0,,,
298766668,1.0,,,
298913337,2.0,,,
298995863,,2.0,1.0,1.0
299198730,1.0,,,
299353934,1.0,,,
299466636,1.0,,,
300020417,1.0,,,
300165560,3.0,,,
300251922,1.0,,,
300728215,1.0,1.0,,1.0
300785669,1.0,,,
300963546,1.0,1.0,,
301049987,1.0,,,
301056702,1.0,,,
301200784,1.0,,,
301268699,1.0,,,
301687466,,1.0,,
301720107,1.0,,,
301751915,1.0,,,
301765248,1.0,,,
302009140,,1.0,,
302023995,2.0,,,
302195750,1.0,,,
302227501,1.0,,,
302438770,1.0,,,
302552935,3.0,,,
302871994,8.0,,,
303074411,2.0,,1.0,
303127745,1.0,,,
303191089,1.0,2.0,1.0,
303369756,2.0,,,
303424028,,2.0,,
303428397,1.0,,,
303568935,1.0,1.0,1.0,
303676423,3.0,,,
303679023,,,1.0,
303937910,1.0,1.0,,
303983234,1.0,,,
304035790,1.0,,,
304130981,1.0,,1.0,2.0
304541273,,1.0,,
304843054,1.0,,,
304970159,1.0,,,
305020565,1.0,1.0,,
305062789,1.0,,,
305071083,1.0,1.0,,
305084146,,,1.0,
305124782,1.0,,,
305217860,1.0,,,
305394564,,,1.0,
305611019,1.0,,,
305634378,,1.0,,
305679094,2.0,,,
305754108,,2.0,,1.0
305767814,,1.0,,
306010739,1.0,,,
306231458,,1.0,1.0,
306232017,1.0,,,
306345969,1.0,,,
306420558,2.0,1.0,,1.0
306508302,2.0,,,
306601513,1.0,,,
306756682,1.0,,,
306806348,,,1.0,
306889202,2.0,,,
307191052,2.0,,,
307275839,9.0,1.0,,
307321069,1.0,,,
307338215,,,1.0,
307421061,,,,1.0
307568354,2.0,,,
307597614,1.0,1.0,1.0,
307629101,1.0,,,
307777889,3.0,3.0,2.0,
307994645,3.0,1.0,1.0,
308031096,1.0,,,
308034461,1.0,,1.0,
308130671,,1.0,,
308283623,1.0,,,
308348230,2.0,3.0,2.0,
308357315,,1.0,,
308451256,1.0,,,
308488601,1.0,,,
308515473,1.0,,,
308611359,2.0,2.0,,
308823474,,1.0,1.0,
308859809,1.0,,,
308884727,,1.0,1.0,
308915605,1.0,1.0,,
308979100,2.0,1.0,,
309051419,1.0,,,
309627860,1.0,,,
309737012,1.0,,,
310031760,1.0,,,
310144833,1.0,,,
310307018,,,1.0,
310795897,1.0,,,
311024328,1.0,,,
311056595,1.0,,,
311061632,1.0,,,
311194758,,,1.0,
311274687,,1.0,1.0,
311321903,1.0,,,
311539076,1.0,2.0,2.0,1.0
311706504,3.0,,,
311787723,2.0,1.0,,
311871313,1.0,,,
311961983,3.0,,,
312021733,,1.0,1.0,
312291720,2.0,,,
312428061,,,,1.0
312525304,1.0,,,
312535062,1.0,,,
312548532,1.0,,,
312617503,,,1.0,
313038080,,1.0,,
313091320,5.0,1.0,,
313270428,2.0,,,
313717907,1.0,,,
313754033,1.0,1.0,1.0,
313763824,1.0,,,
313883655,,,,1.0
313941477,2.0,1.0,,
313946094,1.0,,,
314289158,,1.0,,
314425951,1.0,,,
314434561,1.0,,,
314651726,2.0,,,
314867075,2.0,,,
314949903,1.0,,,
315370262,1.0,1.0,,1.0
315537458,2.0,,,
315654119,1.0,,,
315877447,,1.0,,
316099847,1.0,,,
316118190,,,1.0,
316226302,1.0,,,
316354906,2.0,1.0,,
316387819,1.0,,,
316395994,3.0,1.0,,
316441435,1.0,,,
316588275,,1.0,,1.0
316597156,1.0,,,
316639894,,1.0,2.0,
316717274,,,,1.0
316723922,,1.0,,
316743093,1.0,,,
316841254,,1.0,,1.0
317052957,1.0,,,
317117656,1.0,,,
317697363,1.0,1.0,,
317949756,1.0,,,
318214503,,1.0,,
318236879,1.0,1.0,1.0,
318372602,,1.0,,1.0
318450399,1.0,1.0,,
318517350,,1.0,1.0,1.0
318537394,1.0,1.0,1.0,
318587478,5.0,,,
318647053,1.0,,,
318728911,1.0,,,
319079954,1.0,,,
319983250,,1.0,,
319994637,1.0,,,
320089757,2.0,,,
320202186,5.0,,,
320207021,1.0,,,
320250452,1.0,,,
320252401,3.0,,,
320563212,,1.0,,
320734962,1.0,1.0,,
320993445,1.0,,,
321144897,2.0,,,
321368830,1.0,,,
321379933,1.0,1.0,,2.0
321395149,1.0,,,
321425658,1.0,,,
321534029,1.0,1.0,,
321857012,,1.0,1.0,
321880621,1.0,,,
322009024,1.0,2.0,,
322123153,1.0,,,
322439906,1.0,,,
322468536,,6.0,,1.0
322483579,,,1.0,
322662899,3.0,1.0,,
322676969,,1.0,,
322984055,1.0,1.0,,
323135346,1.0,1.0,1.0,
323319690,1.0,,,
323376427,1.0,,,
323721567,1.0,,,
323746196,1.0,,,
324169740,1.0,,,
324205171,2.0,,,
324322483,1.0,1.0,,
324450445,,1.0,,
324452233,4.0,,,
324499850,1.0,,,
324659378,2.0,,,
324834293,,1.0,,
324849731,3.0,1.0,,1.0
324897129,3.0,1.0,2.0,
325496098,2.0,,,
325796633,,1.0,,
325829003,4.0,,,
325887913,1.0,,,
325988013,3.0,1.0,1.0,
326297346,,1.0,,
326712748,2.0,,,
326759453,1.0,,,
326883314,1.0,,,
326908735,1.0,2.0,,2.0
327341564,,,1.0,
327344462,1.0,,,
327404542,1.0,,,
327525894,1.0,,,
328145962,2.0,,,
328225004,1.0,,,
328586365,2.0,2.0,1.0,1.0
328709985,2.0,1.0,,
328817219,1.0,,,1.0
328841267,1.0,,,
329046465,1.0,,,
329327045,1.0,,,
329437021,,1.0,,
329851952,1.0,,,
330063069,,2.0,,
330295546,1.0,,,
330402669,1.0,,,
330413325,,1.0,,
330674428,,1.0,,1.0
331251142,2.0,,,1.0
331283989,4.0,1.0,1.0,
331451565,1.0,1.0,,
